index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
153,2,10,0.228,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.663
154,3,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.637
155,3,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.676
156,3,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.683
157,3,3,0.827,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.827
158,3,4,0.614,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.779
159,3,5,0.473,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.765
160,3,6,0.421,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.744
161,3,7,0.321,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.75
162,3,8,0.305,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.761
163,3,9,0.303,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.767
164,3,10,0.246,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.766
165,4,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.643
166,4,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.691
167,4,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.693
168,4,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.716
169,4,4,0.85,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.843
170,4,5,0.654,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.807
171,4,6,0.485,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.77
172,4,7,0.427,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.774
173,4,8,0.329,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.742
174,4,9,0.294,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.756
175,4,10,0.278,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.754
176,5,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.59
177,5,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.683
178,5,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.681
179,5,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.69
180,5,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.704
181,5,5,0.826,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.819
182,5,6,0.584,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.779
183,5,7,0.347,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.776
184,5,8,0.259,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.776
185,5,9,0.187,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.755
186,5,10,0.124,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.739
187,6,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.615
188,6,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.642
189,6,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.678
190,6,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.709
191,6,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7
192,6,5,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.728
193,6,6,0.861,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.859
194,6,7,0.547,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.814
195,6,8,0.466,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.796
196,6,9,0.404,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.787
197,6,10,0.364,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.772
198,7,0,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.577
199,7,1,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.625
200,7,2,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.629
201,7,3,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.634
202,7,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.622
203,7,5,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.661
204,7,6,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.662
205,7,7,0.8,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.79
