index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_temperature,lwf_alpha,dense_size,ridge_result
225,9,5,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.675
226,9,6,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.686
227,9,7,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.717
228,9,8,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.702
229,9,9,0.801,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.805
230,9,10,0.782,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.795
231,10,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.524
232,10,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.52
233,10,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.58
234,10,3,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.599
235,10,4,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.624
236,10,5,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.658
237,10,6,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.647
238,10,7,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.64
239,10,8,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.638
240,10,9,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.655
241,10,10,0.819,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.807
242,0,0,0.8281,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.8215
243,0,1,0.7617,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.768
244,0,2,0.7122,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.7422
245,0,3,0.6705,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.718
246,0,4,0.6417,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.7106
247,0,5,0.6231,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.7068
248,0,6,0.6028,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.6977
249,0,7,0.5648,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.6902
250,0,8,0.5452,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.6804
251,0,9,0.5198,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.6797
252,0,10,0.5,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.6761
253,1,0,0.1,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.65
254,1,1,0.853,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.838
255,1,2,0.793,si_model_lwf,1695833837.4109676,lwf,True,1,0.1,128,0.813
