index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_alpha,lwf_temperature,dense_size,ridge_result
145,2,2,0.814,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.814
146,2,3,0.686,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.728
147,2,4,0.618,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.708
148,2,5,0.603,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.67
149,2,6,0.577,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.678
150,2,7,0.562,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.681
151,2,8,0.507,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.662
152,2,9,0.518,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.654
153,2,10,0.486,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.647
154,3,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.544
155,3,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.63
156,3,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.618
157,3,3,0.84,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.837
158,3,4,0.727,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.773
159,3,5,0.672,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.738
160,3,6,0.655,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.736
161,3,7,0.592,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.735
162,3,8,0.554,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.714
163,3,9,0.515,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.719
164,3,10,0.455,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.713
165,4,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.563
166,4,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.674
167,4,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.658
168,4,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.7
169,4,4,0.844,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.843
170,4,5,0.791,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.803
171,4,6,0.722,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.799
172,4,7,0.668,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.759
173,4,8,0.637,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.769
174,4,9,0.603,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.753
175,4,10,0.555,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.747
176,5,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.566
177,5,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.633
178,5,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.64
179,5,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.649
180,5,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.651
181,5,5,0.83,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.823
182,5,6,0.776,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.795
183,5,7,0.733,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.764
184,5,8,0.704,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.749
185,5,9,0.681,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.761
186,5,10,0.633,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.76
187,6,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.542
188,6,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.608
189,6,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.638
190,6,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.63
191,6,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.635
192,6,5,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.685
193,6,6,0.84,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.84
194,6,7,0.81,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.821
195,6,8,0.782,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.794
196,6,9,0.759,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.784
197,6,10,0.701,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.779
198,7,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.546
199,7,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.571
200,7,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.579
201,7,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.606
202,7,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.636
203,7,5,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.642
204,7,6,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.652
205,7,7,0.79,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.795
206,7,8,0.759,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.762
207,7,9,0.703,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.761
208,7,10,0.691,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.727
209,8,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.562
210,8,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.603
211,8,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.622
212,8,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.666
213,8,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.669
214,8,5,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.704
215,8,6,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.691
216,8,7,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.716
217,8,8,0.84,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.842
218,8,9,0.821,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.825
219,8,10,0.744,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.8
220,9,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.552
221,9,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.632
222,9,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.664
223,9,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.678
224,9,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.678
225,9,5,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.67
226,9,6,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.687
227,9,7,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.701
228,9,8,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.716
229,9,9,0.821,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.813
230,9,10,0.775,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.787
231,10,0,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.498
232,10,1,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.532
233,10,2,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.552
234,10,3,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.585
235,10,4,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.59
236,10,5,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.634
237,10,6,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.618
238,10,7,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.625
239,10,8,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.628
240,10,9,0.1,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.619
241,10,10,0.803,si_model_lwf,1695546548.8984902,lwf,True,0.01,1,128,0.801
242,0,0,0.8441,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.8408
243,0,1,0.7552,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7894
244,0,2,0.6693,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7387
245,0,3,0.6074,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7253
246,0,4,0.5735,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7264
247,0,5,0.5467,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7215
248,0,6,0.5105,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7091
249,0,7,0.47,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.7
250,0,8,0.4484,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.6874
251,0,9,0.4289,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.6838
252,0,10,0.3985,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.6865
253,1,0,0.1,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.669
254,1,1,0.849,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.85
255,1,2,0.78,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.791
256,1,3,0.705,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.782
257,1,4,0.718,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.796
258,1,5,0.667,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.779
259,1,6,0.652,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.786
260,1,7,0.626,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.771
261,1,8,0.626,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.781
262,1,9,0.593,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.778
263,1,10,0.582,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.769
264,2,0,0.1,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.535
265,2,1,0.1,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.615
266,2,2,0.794,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.785
267,2,3,0.712,si_model_lwf,1695546548.8950772,lwf,True,0.01,2,256,0.735
