index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
147,2,4,0.541,si,1693682355.3109515,si,True,0.01,1e-08,256,0.669
148,2,5,0.542,si,1693682355.3109515,si,True,0.01,1e-08,256,0.678
149,2,6,0.48,si,1693682355.3109515,si,True,0.01,1e-08,256,0.666
150,2,7,0.531,si,1693682355.3109515,si,True,0.01,1e-08,256,0.705
151,2,8,0.515,si,1693682355.3109515,si,True,0.01,1e-08,256,0.67
152,2,9,0.44,si,1693682355.3109515,si,True,0.01,1e-08,256,0.662
153,2,10,0.417,si,1693682355.3109515,si,True,0.01,1e-08,256,0.647
154,3,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.606
155,3,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.656
156,3,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.652
157,3,3,0.83,si,1693682355.3109515,si,True,0.01,1e-08,256,0.831
158,3,4,0.686,si,1693682355.3109515,si,True,0.01,1e-08,256,0.756
159,3,5,0.593,si,1693682355.3109515,si,True,0.01,1e-08,256,0.727
160,3,6,0.563,si,1693682355.3109515,si,True,0.01,1e-08,256,0.718
161,3,7,0.519,si,1693682355.3109515,si,True,0.01,1e-08,256,0.707
162,3,8,0.456,si,1693682355.3109515,si,True,0.01,1e-08,256,0.71
163,3,9,0.343,si,1693682355.3109515,si,True,0.01,1e-08,256,0.706
164,3,10,0.329,si,1693682355.3109515,si,True,0.01,1e-08,256,0.709
165,4,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.647
166,4,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.712
167,4,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.71
168,4,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.743
169,4,4,0.853,si,1693682355.3109515,si,True,0.01,1e-08,256,0.847
170,4,5,0.761,si,1693682355.3109515,si,True,0.01,1e-08,256,0.815
171,4,6,0.643,si,1693682355.3109515,si,True,0.01,1e-08,256,0.784
172,4,7,0.571,si,1693682355.3109515,si,True,0.01,1e-08,256,0.777
173,4,8,0.503,si,1693682355.3109515,si,True,0.01,1e-08,256,0.754
174,4,9,0.452,si,1693682355.3109515,si,True,0.01,1e-08,256,0.744
175,4,10,0.443,si,1693682355.3109515,si,True,0.01,1e-08,256,0.745
176,5,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.597
177,5,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.673
178,5,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.67
179,5,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.675
180,5,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.679
181,5,5,0.824,si,1693682355.3109515,si,True,0.01,1e-08,256,0.826
182,5,6,0.698,si,1693682355.3109515,si,True,0.01,1e-08,256,0.78
183,5,7,0.591,si,1693682355.3109515,si,True,0.01,1e-08,256,0.763
184,5,8,0.603,si,1693682355.3109515,si,True,0.01,1e-08,256,0.74
185,5,9,0.488,si,1693682355.3109515,si,True,0.01,1e-08,256,0.738
186,5,10,0.482,si,1693682355.3109515,si,True,0.01,1e-08,256,0.713
187,6,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.608
188,6,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.654
189,6,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.665
190,6,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.685
191,6,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.71
192,6,5,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.712
193,6,6,0.848,si,1693682355.3109515,si,True,0.01,1e-08,256,0.844
194,6,7,0.731,si,1693682355.3109515,si,True,0.01,1e-08,256,0.787
195,6,8,0.652,si,1693682355.3109515,si,True,0.01,1e-08,256,0.752
196,6,9,0.629,si,1693682355.3109515,si,True,0.01,1e-08,256,0.759
197,6,10,0.572,si,1693682355.3109515,si,True,0.01,1e-08,256,0.737
198,7,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.587
199,7,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.625
200,7,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.61
201,7,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.575
202,7,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.621
203,7,5,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.642
204,7,6,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.623
205,7,7,0.766,si,1693682355.3109515,si,True,0.01,1e-08,256,0.766
206,7,8,0.606,si,1693682355.3109515,si,True,0.01,1e-08,256,0.714
207,7,9,0.564,si,1693682355.3109515,si,True,0.01,1e-08,256,0.692
208,7,10,0.515,si,1693682355.3109515,si,True,0.01,1e-08,256,0.694
209,8,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.636
210,8,1,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.676
211,8,2,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.68
212,8,3,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.692
213,8,4,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.714
214,8,5,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.717
215,8,6,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.729
216,8,7,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.727
217,8,8,0.832,si,1693682355.3109515,si,True,0.01,1e-08,256,0.831
218,8,9,0.753,si,1693682355.3109515,si,True,0.01,1e-08,256,0.789
219,8,10,0.74,si,1693682355.3109515,si,True,0.01,1e-08,256,0.765
220,9,0,0.1,si,1693682355.3109515,si,True,0.01,1e-08,256,0.611
