index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,dense_size,ridge_result
239,10,8,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.686
240,10,9,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.7
241,10,10,0.805,ewc,1693543192.020504,ewc,True,0.1,512,0.791
242,0,0,0.8281,ewc,1693543227.467587,ewc,True,0.1,128,0.8228
243,0,1,0.6771,ewc,1693543227.467587,ewc,True,0.1,128,0.7279
244,0,2,0.561,ewc,1693543227.467587,ewc,True,0.1,128,0.6506
245,0,3,0.4078,ewc,1693543227.467587,ewc,True,0.1,128,0.6128
246,0,4,0.3707,ewc,1693543227.467587,ewc,True,0.1,128,0.6273
247,0,5,0.4114,ewc,1693543227.467587,ewc,True,0.1,128,0.6105
248,0,6,0.3932,ewc,1693543227.467587,ewc,True,0.1,128,0.592
249,0,7,0.353,ewc,1693543227.467587,ewc,True,0.1,128,0.5899
250,0,8,0.3719,ewc,1693543227.467587,ewc,True,0.1,128,0.5829
251,0,9,0.3506,ewc,1693543227.467587,ewc,True,0.1,128,0.6007
252,0,10,0.3352,ewc,1693543227.467587,ewc,True,0.1,128,0.5818
253,1,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.638
254,1,1,0.851,ewc,1693543227.467587,ewc,True,0.1,128,0.85
255,1,2,0.703,ewc,1693543227.467587,ewc,True,0.1,128,0.759
256,1,3,0.616,ewc,1693543227.467587,ewc,True,0.1,128,0.733
257,1,4,0.555,ewc,1693543227.467587,ewc,True,0.1,128,0.738
258,1,5,0.532,ewc,1693543227.467587,ewc,True,0.1,128,0.723
259,1,6,0.496,ewc,1693543227.467587,ewc,True,0.1,128,0.686
260,1,7,0.492,ewc,1693543227.467587,ewc,True,0.1,128,0.716
261,1,8,0.457,ewc,1693543227.467587,ewc,True,0.1,128,0.708
262,1,9,0.477,ewc,1693543227.467587,ewc,True,0.1,128,0.704
263,1,10,0.426,ewc,1693543227.467587,ewc,True,0.1,128,0.669
264,2,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.428
265,2,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.524
266,2,2,0.811,ewc,1693543227.467587,ewc,True,0.1,128,0.819
267,2,3,0.59,ewc,1693543227.467587,ewc,True,0.1,128,0.699
268,2,4,0.513,ewc,1693543227.467587,ewc,True,0.1,128,0.634
269,2,5,0.476,ewc,1693543227.467587,ewc,True,0.1,128,0.647
270,2,6,0.411,ewc,1693543227.467587,ewc,True,0.1,128,0.646
271,2,7,0.444,ewc,1693543227.467587,ewc,True,0.1,128,0.617
272,2,8,0.377,ewc,1693543227.467587,ewc,True,0.1,128,0.597
273,2,9,0.333,ewc,1693543227.467587,ewc,True,0.1,128,0.623
274,2,10,0.287,ewc,1693543227.467587,ewc,True,0.1,128,0.613
275,3,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.556
276,3,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.607
277,3,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.612
278,3,3,0.831,ewc,1693543227.467587,ewc,True,0.1,128,0.842
279,3,4,0.681,ewc,1693543227.467587,ewc,True,0.1,128,0.758
280,3,5,0.59,ewc,1693543227.467587,ewc,True,0.1,128,0.757
281,3,6,0.466,ewc,1693543227.467587,ewc,True,0.1,128,0.733
282,3,7,0.439,ewc,1693543227.467587,ewc,True,0.1,128,0.691
283,3,8,0.444,ewc,1693543227.467587,ewc,True,0.1,128,0.717
284,3,9,0.401,ewc,1693543227.467587,ewc,True,0.1,128,0.712
285,3,10,0.352,ewc,1693543227.467587,ewc,True,0.1,128,0.699
286,4,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.546
287,4,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.656
288,4,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.638
289,4,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.683
290,4,4,0.856,ewc,1693543227.467587,ewc,True,0.1,128,0.842
291,4,5,0.739,ewc,1693543227.467587,ewc,True,0.1,128,0.765
292,4,6,0.498,ewc,1693543227.467587,ewc,True,0.1,128,0.734
293,4,7,0.526,ewc,1693543227.467587,ewc,True,0.1,128,0.742
294,4,8,0.511,ewc,1693543227.467587,ewc,True,0.1,128,0.73
295,4,9,0.444,ewc,1693543227.467587,ewc,True,0.1,128,0.727
296,4,10,0.399,ewc,1693543227.467587,ewc,True,0.1,128,0.71
297,5,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.533
298,5,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.604
299,5,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.631
300,5,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.625
301,5,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.612
302,5,5,0.823,ewc,1693543227.467587,ewc,True,0.1,128,0.823
303,5,6,0.627,ewc,1693543227.467587,ewc,True,0.1,128,0.765
304,5,7,0.507,ewc,1693543227.467587,ewc,True,0.1,128,0.731
305,5,8,0.462,ewc,1693543227.467587,ewc,True,0.1,128,0.702
306,5,9,0.532,ewc,1693543227.467587,ewc,True,0.1,128,0.698
307,5,10,0.416,ewc,1693543227.467587,ewc,True,0.1,128,0.696
308,6,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.529
309,6,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.59
310,6,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.626
311,6,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.607
312,6,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.609
313,6,5,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.643
314,6,6,0.859,ewc,1693543227.467587,ewc,True,0.1,128,0.849
315,6,7,0.731,ewc,1693543227.467587,ewc,True,0.1,128,0.795
316,6,8,0.634,ewc,1693543227.467587,ewc,True,0.1,128,0.748
317,6,9,0.561,ewc,1693543227.467587,ewc,True,0.1,128,0.736
318,6,10,0.54,ewc,1693543227.467587,ewc,True,0.1,128,0.732
319,7,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.531
320,7,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.548
321,7,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.561
322,7,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.576
323,7,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.607
324,7,5,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.611
325,7,6,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.628
326,7,7,0.786,ewc,1693543227.467587,ewc,True,0.1,128,0.786
327,7,8,0.659,ewc,1693543227.467587,ewc,True,0.1,128,0.738
328,7,9,0.59,ewc,1693543227.467587,ewc,True,0.1,128,0.692
329,7,10,0.521,ewc,1693543227.467587,ewc,True,0.1,128,0.686
330,8,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.545
331,8,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.583
332,8,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.608
333,8,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.669
334,8,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.666
335,8,5,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.638
336,8,6,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.662
337,8,7,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.675
338,8,8,0.849,ewc,1693543227.467587,ewc,True,0.1,128,0.843
339,8,9,0.742,ewc,1693543227.467587,ewc,True,0.1,128,0.801
340,8,10,0.65,ewc,1693543227.467587,ewc,True,0.1,128,0.754
341,9,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.538
342,9,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.615
343,9,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.639
344,9,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.637
345,9,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.615
346,9,5,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.654
347,9,6,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.644
348,9,7,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.659
349,9,8,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.701
350,9,9,0.83,ewc,1693543227.467587,ewc,True,0.1,128,0.832
351,9,10,0.711,ewc,1693543227.467587,ewc,True,0.1,128,0.775
352,10,0,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.518
353,10,1,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.526
354,10,2,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.561
355,10,3,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.548
356,10,4,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.571
357,10,5,0.1,ewc,1693543227.467587,ewc,True,0.1,128,0.598
