index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
215,8,6,0.1,replay,1695845549.3966246,replay,True,40000,128,0.797
216,8,7,0.1,replay,1695845549.3966246,replay,True,40000,128,0.787
217,8,8,0.882,replay,1695845549.3966246,replay,True,40000,128,0.878
218,8,9,0.865,replay,1695845549.3966246,replay,True,40000,128,0.862
219,8,10,0.86,replay,1695845549.3966246,replay,True,40000,128,0.863
220,9,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.436
221,9,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.525
222,9,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.604
223,9,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.627
224,9,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.633
225,9,5,0.1,replay,1695845549.3966246,replay,True,40000,128,0.649
226,9,6,0.1,replay,1695845549.3966246,replay,True,40000,128,0.655
227,9,7,0.1,replay,1695845549.3966246,replay,True,40000,128,0.674
228,9,8,0.1,replay,1695845549.3966246,replay,True,40000,128,0.671
229,9,9,0.806,replay,1695845549.3966246,replay,True,40000,128,0.808
230,9,10,0.782,replay,1695845549.3966246,replay,True,40000,128,0.765
231,10,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.546
232,10,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.608
233,10,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.692
234,10,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.697
235,10,4,0.1,replay,1695845549.3966246,replay,True,40000,128,0.694
236,10,5,0.1,replay,1695845549.3966246,replay,True,40000,128,0.708
237,10,6,0.1,replay,1695845549.3966246,replay,True,40000,128,0.723
238,10,7,0.1,replay,1695845549.3966246,replay,True,40000,128,0.745
239,10,8,0.1,replay,1695845549.3966246,replay,True,40000,128,0.744
240,10,9,0.1,replay,1695845549.3966246,replay,True,40000,128,0.749
241,10,10,0.836,replay,1695845549.3966246,replay,True,40000,128,0.82
242,0,0,0.8281,replay,1695845549.386035,replay,True,20000,128,0.8222
243,0,1,0.8227,replay,1695845549.386035,replay,True,20000,128,0.8127
244,0,2,0.8106,replay,1695845549.386035,replay,True,20000,128,0.7965
245,0,3,0.8032,replay,1695845549.386035,replay,True,20000,128,0.7869
246,0,4,0.7857,replay,1695845549.386035,replay,True,20000,128,0.7784
247,0,5,0.7719,replay,1695845549.386035,replay,True,20000,128,0.7633
248,0,6,0.7707,replay,1695845549.386035,replay,True,20000,128,0.7621
249,0,7,0.7571,replay,1695845549.386035,replay,True,20000,128,0.752
250,0,8,0.7629,replay,1695845549.386035,replay,True,20000,128,0.7532
251,0,9,0.7555,replay,1695845549.386035,replay,True,20000,128,0.7438
252,0,10,0.7532,replay,1695845549.386035,replay,True,20000,128,0.7323
253,1,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.632
254,1,1,0.838,replay,1695845549.386035,replay,True,20000,128,0.839
255,1,2,0.826,replay,1695845549.386035,replay,True,20000,128,0.803
256,1,3,0.845,replay,1695845549.386035,replay,True,20000,128,0.823
257,1,4,0.838,replay,1695845549.386035,replay,True,20000,128,0.829
258,1,5,0.842,replay,1695845549.386035,replay,True,20000,128,0.831
259,1,6,0.83,replay,1695845549.386035,replay,True,20000,128,0.84
260,1,7,0.834,replay,1695845549.386035,replay,True,20000,128,0.818
261,1,8,0.832,replay,1695845549.386035,replay,True,20000,128,0.829
262,1,9,0.829,replay,1695845549.386035,replay,True,20000,128,0.816
263,1,10,0.836,replay,1695845549.386035,replay,True,20000,128,0.83
264,2,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.452
265,2,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.54
266,2,2,0.804,replay,1695845549.386035,replay,True,20000,128,0.799
267,2,3,0.778,replay,1695845549.386035,replay,True,20000,128,0.78
268,2,4,0.78,replay,1695845549.386035,replay,True,20000,128,0.772
269,2,5,0.784,replay,1695845549.386035,replay,True,20000,128,0.784
270,2,6,0.773,replay,1695845549.386035,replay,True,20000,128,0.769
271,2,7,0.77,replay,1695845549.386035,replay,True,20000,128,0.777
272,2,8,0.767,replay,1695845549.386035,replay,True,20000,128,0.769
273,2,9,0.783,replay,1695845549.386035,replay,True,20000,128,0.778
274,2,10,0.752,replay,1695845549.386035,replay,True,20000,128,0.773
275,3,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.562
276,3,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.601
277,3,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.654
278,3,3,0.821,replay,1695845549.386035,replay,True,20000,128,0.819
279,3,4,0.812,replay,1695845549.386035,replay,True,20000,128,0.812
280,3,5,0.808,replay,1695845549.386035,replay,True,20000,128,0.802
281,3,6,0.808,replay,1695845549.386035,replay,True,20000,128,0.819
282,3,7,0.814,replay,1695845549.386035,replay,True,20000,128,0.819
283,3,8,0.816,replay,1695845549.386035,replay,True,20000,128,0.828
284,3,9,0.804,replay,1695845549.386035,replay,True,20000,128,0.817
285,3,10,0.795,replay,1695845549.386035,replay,True,20000,128,0.815
286,4,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.55
287,4,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.629
288,4,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.659
289,4,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.706
290,4,4,0.84,replay,1695845549.386035,replay,True,20000,128,0.842
291,4,5,0.829,replay,1695845549.386035,replay,True,20000,128,0.824
292,4,6,0.816,replay,1695845549.386035,replay,True,20000,128,0.821
293,4,7,0.82,replay,1695845549.386035,replay,True,20000,128,0.807
294,4,8,0.816,replay,1695845549.386035,replay,True,20000,128,0.807
295,4,9,0.816,replay,1695845549.386035,replay,True,20000,128,0.813
296,4,10,0.818,replay,1695845549.386035,replay,True,20000,128,0.806
297,5,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.547
298,5,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.626
299,5,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.656
300,5,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.676
301,5,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.694
302,5,5,0.816,replay,1695845549.386035,replay,True,20000,128,0.807
303,5,6,0.792,replay,1695845549.386035,replay,True,20000,128,0.781
304,5,7,0.789,replay,1695845549.386035,replay,True,20000,128,0.791
305,5,8,0.796,replay,1695845549.386035,replay,True,20000,128,0.794
306,5,9,0.801,replay,1695845549.386035,replay,True,20000,128,0.791
307,5,10,0.794,replay,1695845549.386035,replay,True,20000,128,0.792
308,6,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.563
309,6,1,0.1,replay,1695845549.386035,replay,True,20000,128,0.631
310,6,2,0.1,replay,1695845549.386035,replay,True,20000,128,0.67
311,6,3,0.1,replay,1695845549.386035,replay,True,20000,128,0.668
312,6,4,0.1,replay,1695845549.386035,replay,True,20000,128,0.685
313,6,5,0.1,replay,1695845549.386035,replay,True,20000,128,0.708
314,6,6,0.85,replay,1695845549.386035,replay,True,20000,128,0.846
315,6,7,0.833,replay,1695845549.386035,replay,True,20000,128,0.814
316,6,8,0.833,replay,1695845549.386035,replay,True,20000,128,0.806
317,6,9,0.832,replay,1695845549.386035,replay,True,20000,128,0.825
318,6,10,0.833,replay,1695845549.386035,replay,True,20000,128,0.818
319,7,0,0.1,replay,1695845549.386035,replay,True,20000,128,0.532
